68,Sally Kirkland,1941,"['Anna y Cristina', 'El golpe', 'JFK: Caso abierto', 'Tom in America', '2014']","['Reparto', 'Producción', 'Equipos adicionales']","['Academy Awards USA Nom', 'Golden Globes USA Nom', 'Film Independent Spirit Awards Gan', 'Long Island International Film Expo Gan', 'Los Angeles Film Critics Association Awards Gan']"
69,Lovie Simone,1998,"['Blumhouse. Jóvenes y brujas', 'The Walk', '57 Seconds', 'Blue Bloods', '2017 • 1 episodio']","['Reparto', 'Banda sonora']","['Moscow Indie Film Festival Nom', 'Contribuir a esta página ir ']"
70,Aleyse Shannon,1996,"['Navidad sangrienta', 'Leverage: Redemption', '2021–2024 • 30 episodios', '4,2']",['Reparto'],"['Academy of Science Fiction Fantasy & Horror Films USA Nom', 'Contribuir a esta página ir ']"
71,Niecy Nash,1970,"['Reno 911!', '2003–2022 • 120 episodios', '2005', 'Desna Simms', 'Deputy Raineesha Williams']","['Reparto', 'Producción', 'Dirección']","['Critics Choice Awards Gan', 'Daytime Emmy Awards Gan', 'Primetime Emmy Awards Gan', 'Golden Globes USA Nom', 'Satellite Awards Nom']"
72,Giancarlo Esposito,1958,"['Breaking Bad', '2009–2011 • 26 episodios', '1995', '2016', '1989']","['Música', 'Reparto', 'Producción']","['Academy of Science Fiction Fantasy & Horror Films USA Nom', 'Critics Choice Awards Gan', 'Primetime Emmy Awards Nom', 'Ft. Lauderdale International Film Festival Gan', 'Satellite Awards Nom']"
73,Micheal Ward,1997,"['El imperio de la luz', 'La vieja guardia', 'Blue Story', 'Top Boy', '2013–2022 • 19 episodios']",['Reparto'],"['BAFTA Awards Nom', 'Royal Television Society UK Nom', 'Black Reel Awards Nom', 'CinEuphoria Awards Nom', 'Women Film Critics Circle Awards Nom']"
74,Sharon Stone,1958,"['Instinto básico', 'Casino', 'Rápida y mortal', 'Sliver (Acosada)']","['Reparto', 'Producción', 'Equipos adicionales']","['Academy Awards USA Nom', 'Academy of Science Fiction Fantasy & Horror Films USA Nom', 'Critics Choice Awards Nom', 'Chicago Film Critics Association Awards Nom', 'Dallas-Fort Worth Film Critics Association Awards Nom']"
75,Tosin Cole,1992,"['Star Wars: El despertar de la Fuerza', 'Código abierto', 'Bob Marley: One Love', 'Doctor Who', '2018–2021 • 22 episodios']","['Reparto', 'Banda sonora']","['Academy of Science Fiction Fantasy & Horror Films USA Nom', 'Screen Nation Awards Nom', 'Contribuir a esta página ir ']"
76,Karen Obilom,1994,"['Games People Play', '2019–2021 • 20 episodios', 'Roni Evers', 'Serie de TV', '6,8']","['Reparto', 'Maquillaje']","['Harlem International Film Festival Gan', 'Contribuir a esta página ir ']"
77,D.C. Young Fly,1992,"['#DigitalLivesMatter', 'Armado (La gran conspiración americana)', ""Da 'Partments"", 'Celebrity Squares', '2023 • 7 episodios']","['Reparto', 'Producción', 'Guion']","['Image Awards (NAACP) Nom', 'Contribuir a esta página ir ']"
78,Allen Maldonado,1983,"['Heels', '2021–2023 • 16 episodios', 'Coach Long', 'Miniserie de TV', '7,3']","['Reparto', 'Guion', 'Producción']","['Film Invasion L.A. Gan', 'Contribuir a esta página ir ']"
79,Rotimi,1988,"['Divergente', 'Power', '2015–2020 • 55 episodios', '2021', ""Lil DLil' D""]","['Reparto', 'Producción', 'Composición']","['National Film and Television Awards USA Nom', 'Contribuir a esta página ir ']"
80,Kid Cudi,1984,"['Más dura será la caída', 'No mires arriba', 'Need for Speed', 'X']","['Music Artist', 'Reparto', 'Composición']","['Critics Choice Awards Nom', 'Grammy Awards Nom', 'Image Awards (NAACP) Nom', 'MTV Movie + TV Awards Nom', 'Screen Actors Guild Awards Nom']"
81,Mya,1979,"['Chicago', 'Moulin Rouge', 'La maldición (Cursed)', 'Dirty Dancing 2']","['Reparto', 'Composición', 'Producción']","['Critics Choice Awards Gan', 'Grammy Awards Nom', 'MTV Movie + TV Awards Nom', 'Screen Actors Guild Awards Gan', 'Teen Choice Awards Gan']"
82,Maciej Stuhr,1975,"['El secreto de la aldea', 'Hater', 'Milczenie polskich owiec', '2017', '2021']","['Reparto', 'Guion', 'Dirección']","['Polish Film Festival Nom', 'Warsaw International Film Festival Nom', 'Polish Film Awards Gan', 'CinEuphoria Awards Nom', 'Gdynia Film Festival Nom']"
