,0,1,2,3,4,5,6,7
79,7.8,93%,Nicolas Winding Refn,Hossein Amini,A mysterious Hollywood action film stuntman gets in trouble with gangsters when he tries to help his neighbor's husband rob a pawn shop while serving as his getaway driver.,"Action
Drama",1h 40m,Drive
80,6.6,80%,Al Pacino,Al Pacino,"A tale of lust, greed, and one woman's scorn.","Documentary
Drama",1h 35m,Wilde Salomé
81,3.5,83%,Rajnish Thakur,Shweta BhardwajMimoh ChakrabortyPrem Chopra,Four burglars end up stealing a vehicle from robbers as well as unknowingly breaking in the house of a notorious gangster.,Action,1h 50m,Loot
82,5.9,30%,Alister Grierson,John Garvin,An underwater cave diving team experiences a life-threatening crisis during an expedition to the unexplored and least accessible cave system in the world.,"Action
Adventure
Drama",1h 48m,Sanctum
83,5.5,24%,Angel Gracia,Fina Torres,"A Latina spin on Jane Austen's ""Sense and Sensibility"": two spoiled sisters who have been left penniless after their father's sudden death are forced to move in with their estranged aunt in East Los Angeles.","Action
Comedy
Drama",1h 47m,From Prada to Nada
84,7.5,93%,Martin Scorsese,John Logan,"In 1931 Paris, an orphan living in the walls of a train station gets wrapped up in a mystery involving his late father and an automaton.","Adventure
Drama
Family",2h 6m,Hugo
85,6.7,72%,Joe Wright,Seth Lochhead,"A sixteen-year-old girl who was raised by her father to be the perfect assassin is dispatched on a mission across Europe, tracked by a ruthless intelligence agent and her operatives.","Action
Adventure
Drama",1h 51m,Hanna
86,6.6,52%,Andrew Stanton,Andrew Stanton,"Transported to Barsoom, a Civil War vet discovers a barren planet seemingly inhabited by 12-foot tall barbarians. Finding himself prisoner of these creatures, he escapes, only to encounter Woola and a princess in desperate need of a savior.","Action
Adventure
Sci-Fi",2h 12m,John Carter
87,7.0,64%,Christopher McQuarrie,Lee Child,A homicide investigator digs deeper into a case involving a trained military sniper responsible for a mass shooting.,"Action
Mystery
Thriller",2h 10m,Jack Reacher
88,6.9,71%,Marc Webb,James Vanderbilt,"After Peter Parker is bitten by a genetically altered spider, he gains newfound, spider-like powers and ventures out to save the city from the machinations of a mysterious reptilian foe.","Action
Adventure
Sci-Fi",2h 16m,The Amazing Spider-Man
