0,1,2,3,4,5
52.0,Zach Galifianakis,1969,"['The Hangover', 'Birdman or (The Unexpected Virtue of Ignorance)', 'Due Date', 'The Lego Batman Movie']","['Actor', 'Producer', 'Writer']","['Annie Awards Nom', 'Primetime Emmy Awards Nom', 'Satellite Awards Nom', 'Hollywood Film Awards Win', 'Las Vegas Film Critics Society Awards Win']"
53.0,Billy Bob Thornton,1955,"['Sling Blade', 'A Simple Plan', ""The Man Who Wasn't There"", ""Monster's Ball""]","['Actor', 'Writer', 'Director']","['Academy Awards USA Nom', 'Academy of Science Fiction Fantasy & Horror Films USA Nom', 'Berlin International Film Festival Nom', 'Blockbuster Entertainment Awards Nom', 'Boston Society of Film Critics Awards Win']"
54.0,Amy Sedaris,1961,"['Elf', 'Strangers with Candy', '1999–2000 • 31 eps', '2011', '2009']","['Actress', 'Writer', 'Producer']","['CableACE Awards Nom', 'Primetime Emmy Awards Nom', 'Writers Guild of America USA Nom', 'Online Film & Television Association Nom', 'Behind the Voice Actors Awards Nom']"
55.0,Constance Marie,1965,"['George Lopez', '2002–2007 • 120 eps', 'Regina VasquezRegina Sorrento', 'Marcela Quintanilla', 'TV Series']","['Actress', 'Soundtrack']","['ALMA Awards Win', 'Imagen Foundation Awards Nom', 'Soap Opera Digest Awards Nom', 'Young Artist Awards Nom', 'Gracie Allen Awards Win']"
56.0,Guillermo del Toro,1964,"[""Pan's Labyrinth"", 'Hellboy', 'Pinocchio', 'The Shape of Water']","['Writer', 'Producer', 'Director']","['Ariel Awards Mexico Win', 'Academy Awards USA Win', 'Academy of Science Fiction Fantasy & Horror Films USA Nom', 'ALMA Awards Win', 'American Cinema Editors USA Win']"
57.0,Mike Mitchell,1970,"['Monsters vs. Aliens', 'Shrek Forever After', 'The LEGO Movie 2', 'Herd', '1999']","['Director', 'Writer', 'Actor']","['Aspen Shortsfest Win', 'Atlanta Film Festival Win', 'Sidewalk Film Festival Win', 'Hi Mom Film Festival Win', 'Slamdance Film Festival Win']"
58.0,James McAvoy,1979,"['Filth', 'Split', 'Atonement', 'The Last King of Scotland']","['Actor', 'Director', 'Producer']","['BAFTA Awards Nom', 'BAFTA Awards Scotland Win', 'British Comedy Awards Nom', 'British Independent Film Awards Win', 'Cannes Film Festival Win']"
59.0,Emily Blunt,1983,"['Edge of Tomorrow', 'The Devil Wears Prada', 'The Adjustment Bureau', 'Salmon Fishing in the Yemen']","['Actress', 'Producer', 'Additional Crew']","['Academy Awards USA Nom', 'Academy of Science Fiction Fantasy & Horror Films USA Win', 'BAFTA Awards Nom', 'British Independent Film Awards Nom', 'Critics Choice Awards Nom']"
60.0,Ashley Jensen,1969,"['Arthur Christmas', 'The Lobster', 'Ugly Betty', '2006–2010 • 66 eps', 'Maggie Jacobs']","['Actress', 'Art Director', 'Producer']","['Annie Awards Nom', 'BAFTA Awards Nom', 'BAFTA Awards Scotland Nom', 'British Comedy Awards Nom', 'Broadcasting Press Guild Awards Nom']"
61.0,Michael Caine,1933,"['The Dark Knight', 'Youth', 'The Prestige', 'The Cider House Rules']","['Actor', 'Producer', 'Additional Crew']","['Academy Awards USA Nom', 'BAFTA Awards Nom', 'British Independent Film Awards Win', 'Critics Choice Awards Nom', 'Chicago Film Critics Association Awards Nom']"
62.0,Matt Lucas,1974,"['Little Britain', '2003–2006 • 23 eps', '2011', '2016', '2023']","['Actor', 'Writer', 'Producer']","['BAFTA Awards Nom', 'British Comedy Awards Nom', 'Grammy Awards Nom', ""Rose d'Or Light Entertainment Festival Win"", 'Royal Television Society UK Nom']"
63.0,Jim Cummings,1952,"['Winnie the Pooh', 'Christopher Robin', 'The Princess and the Frog', 'Aladdin']","['Actor', 'Soundtrack', 'Additional Crew']","['Annie Awards Nom', 'Daytime Emmy Awards Nom', 'Behind the Voice Actors Awards Win']"
64.0,Maggie Smith,1934,"['Gosford Park', 'A Room with a View', 'The Lady in the Van', 'The Best Exotic Marigold Hotel']","['Actress', 'Soundtrack']","['Academy Awards USA Nom', 'Academy of Science Fiction Fantasy & Horror Films USA Nom', 'American Comedy Awards USA Nom', 'BAFTA Awards Nom', 'British Independent Film Awards Nom']"
65.0,Jason Statham,1967,"['Crank', 'Fast & Furious 7', 'Spy', 'The Meg']","['Actor', 'Producer', 'Stunts']","['Critics Choice Awards Nom', 'Razzie Awards Nom', 'Teen Choice Awards Nom', 'Alliance of Women Film Journalists Nom', 'Shorty Awards Nom']"
66.0,Ozzy Osbourne,1948,"['Little Nicky', 'Austin Powers in Goldmember', 'Gnomeo & Juliet', 'Moulin Rouge!']","['Music Artist', 'Actor', 'Music Department']","['Grammy Awards Win', 'MTV Movie + TV Awards Nom', 'Teen Choice Awards Win', 'Walk of Fame Win', 'iHeartRadio Music Awards Nom']"
67.0,Stephen Merchant,1974,"['Extras', '2006–2007 • 7 eps', '2019', '2017', '2019']","['Producer', 'Writer', 'Actor']","['Banff Television Festival Win', 'BAFTA Awards Nom', 'British Comedy Awards Win', 'Broadcasting Press Guild Awards Nom', 'Primetime Emmy Awards Nom']"
68.0,Shah Rukh Khan,1965,"['Don 2', 'My Name Is Khan', 'Devdas', 'Jab Tak Hai Jaan']","['Actor', 'Producer', 'Music Department']","['Filmfare Awards Nom', 'Awards of the International Indian Film Academy Nom', 'Locarno International Film Festival Win', 'Zee Cine Awards Nom', 'Apsara Film Producers Guild Awards Nom']"
69.0,Priyanka Chopra Jonas,1982,"['Barfi!', 'Baywatch', 'Bajirao Mastani', 'Agneepath']","['Actress', 'Producer', 'Music Department']","['Filmfare Awards Nom', 'Awards of the International Indian Film Academy Nom', 'Zee Cine Awards Win', 'National Film Awards India Win', ""People's Choice Awards USA Win""]"
70.0,Boman Irani,1959,"['3 Idiots', 'Munna Bhai M.B.B.S.', 'Don 2', 'Dunki']","['Actor', 'Music Department', 'Director']","['Filmfare Awards Win', 'Awards of the International Indian Film Academy Nom', 'Zee Cine Awards Nom', 'Apsara Film Producers Guild Awards Nom', ""Sansui Viewer's Choice Awards Nom""]"
71.0,Lara Dutta,1978,"['Don 2', 'No Entry', 'Bell Bottom', 'Jhoom Barabar Jhoom']","['Actress', 'Producer']","['Filmfare Awards Win', 'Awards of the International Indian Film Academy Nom', 'Zee Cine Awards Nom', ""Sansui Viewer's Choice Awards Win"", 'Indian Television Academy Awards India Nom']"
72.0,Kunal Kapoor,1975,"['Rang De Basanti', 'Don 2', 'Veeram', 'The Empire', '2021 • 8 eps']","['Actor', 'Second Unit or Assistant Director', 'Producer']","['Filmfare Awards Nom', 'Awards of the International Indian Film Academy Nom', 'Zee Cine Awards Nom', 'Bollywood Awards Nom', 'South Indian International Movie Awards Nom']"
73.0,Om Puri,1950,"['The Hundred-Foot Journey', 'East Is East', 'Wolf', 'Lakshya']","['Actor', 'Additional Crew', 'Music Department']","['BAFTA Awards Nom', 'Brussels Film Festival (BRFF) Win', 'Filmfare Awards Win', 'Karlovy Vary International Film Festival Win', 'Montréal World Film Festival Win']"
74.0,Nawab Shah,1972,"['Don 2', 'Lakshya', 'Khuda Haafiz', 'Dilwale']",['Actor'],"['Gold Awards Nom', 'Indian Film and Television Awards Nom']"
75.0,Alyy Khan,1968,"['Don 2', 'A Mighty Heart', 'Traitor', 'The Valley']",['Actor'],"['British Independent Film Awards Nom', 'Northeast Film Festival US Nom', 'Film Fest International Milan Nom', 'Film Fest International Berlin Nom', 'Indian Telly Awards Nom']"
76.0,Florian Lukas,1973,"['Good Bye Lenin!', 'The Grand Budapest Hotel', 'Weissensee', '2010–2018 • 24 eps', '1999']","['Actor', 'Producer', 'Soundtrack']","['Bambi Awards Win', 'Bavarian Film Awards Win', 'Bavarian TV Awards Nom', 'German Film Awards Win', 'German Television Awards Win']"
77.0,James McAvoy,1979,"['Filth', 'Split', 'Atonement', 'The Last King of Scotland']","['Actor', 'Director', 'Producer']","['BAFTA Awards Nom', 'BAFTA Awards Scotland Win', 'British Comedy Awards Nom', 'British Independent Film Awards Win', 'Cannes Film Festival Win']"
78.0,Michael Fassbender,1977,"['Shame', 'Prometheus', 'X-Men: First Class', 'Steve Jobs']","['Actor', 'Producer', 'Executive']","['Academy Awards USA Nom', 'Academy of Science Fiction Fantasy & Horror Films USA Nom', 'Boston Society of Film Critics Awards Nom', 'BAFTA Awards Nom', 'British Independent Film Awards Nom']"
79.0,Bill Milner,1995,"['Son of Rambow', 'Is Anybody There?', 'Anthropoid', 'X-Men: First Class']","['Actor', 'Producer', 'Set Decorator']","['British Independent Film Awards Nom', 'London Critics Circle Film Awards Nom', 'Young Artist Awards Nom', 'British Independent Film Festival Win']"
80.0,Kevin Bacon,1958,"['Footloose', 'Hollow Man', 'The Woodsman', 'Mystic River']","['Actor', 'Producer', 'Director']","['Academy of Science Fiction Fantasy & Horror Films USA Nom', 'Blockbuster Entertainment Awards Win', 'Boston Society of Film Critics Awards Win', 'Critics Choice Awards Win', 'CableACE Awards Nom']"
81.0,Rose Byrne,1979,"['Spy', 'Insidious', 'Bridesmaids', 'Bad Neighbours']","['Actress', 'Producer', 'Soundtrack']","['Film Critics Circle of Australia Awards Win', 'Australian Film Institute Nom', 'Critics Choice Awards Nom', 'Primetime Emmy Awards Nom', 'Golden Globes USA Nom']"
82.0,Jennifer Lawrence,1990,"['The Hunger Games', 'Silver Linings Playbook', 'American Hustle', 'X-Men: First Class']","['Actress', 'Producer', 'Writer']","['Academy Awards USA Nom', 'Academy of Science Fiction Fantasy & Horror Films USA Nom', 'American Comedy Awards USA Win', 'BAFTA Awards Win', 'Critics Choice Awards Nom']"
83.0,Morgan Lily,2000,"['2012', 'Flipped', 'Cooties', 'X-Men: First Class']",['Actress'],['Young Artist Awards Nom']
84.0,Oliver Platt,1960,"['The Three Musketeers', 'Bicentennial Man', 'Lake Placid', 'Frost/Nixon']","['Actor', 'Producer']","['Blockbuster Entertainment Awards Nom', 'Boston Society of Film Critics Awards Nom', 'Primetime Emmy Awards Nom', 'Golden Globes USA Nom', 'Gotham Awards Nom']"
85.0,Henry Cavill,1983,"['Man of Steel', 'Batman v Superman: Dawn of Justice', 'Justice League', 'The Man from U.N.C.L.E.']","['Actor', 'Additional Crew', 'Producer']","['Academy of Science Fiction Fantasy & Horror Films USA Nom', 'Critics Choice Awards Nom', ""Kids' Choice Awards USA Nom"", 'MTV Movie + TV Awards Win', 'Razzie Awards Nom']"
86.0,Mickey Rourke,1952,"['Sin City', 'The Wrestler', 'Angel Heart', 'Iron Man 2']","['Actor', 'Writer', 'Producer']","['Academy Awards USA Nom', 'Academy of Science Fiction Fantasy & Horror Films USA Win', 'Boston Society of Film Critics Awards Win', 'BAFTA Awards Win', 'Critics Choice Awards Nom']"
87.0,Stephen Dorff,1973,"['Blade', 'Somewhere', 'Immortals', 'World Trade Center']","['Actor', 'Producer', 'Writer']","['Academy of Science Fiction Fantasy & Horror Films USA Nom', 'Blockbuster Entertainment Awards Win', 'MTV Movie + TV Awards Win', 'ShoWest Convention USA Win', 'Young Artist Awards Nom']"
88.0,Freida Pinto,1984,"['Slumdog Millionaire', 'Rise of the Planet of the Apes', 'Immortals', 'Knight of Cups']","['Actress', 'Producer', 'Soundtrack']","['BAFTA Awards Nom', 'MTV Movie + TV Awards Nom', 'Palm Springs International Film Festival Win', 'Screen Actors Guild Awards Win', 'Teen Choice Awards Nom']"
