,0,1,2,3,4,5,6,7
157,"6,1",56%,J.J. Perry,Tyler Tice,Un padre que trabaja duro y que solo quiere darle una buena vida a su ingeniosa hija de 8 años. Su trabajo de limpieza de piscinas en el Valle de San Fernando es una fachada para su verdadera fuente de ingresos: cazar y matar vampiros.,"Acción
Comedia
Fantasía",1h 53min,Turno de día
158,"6,1",79%,Aaron Nee,Oren Uziel,Una novelista romántica solitaria en una gira de libros junto con su modelo de portada se ve envuelta en un intento de secuestro que los lleva a ambos a una feroz aventura en la jungla.,"Acción
Aventura
Comedia",1h 52min,La ciudad perdida
159,"6,7",40%,Francis Lawrence,David Guion,"Una joven descubre un mapa secreto al mundo de los sueños de Slumberland, con la ayuda de un excéntrico forajido, atraviesa los sueños y huye de las pesadillas, con la esperanza de poder volver a ver a su difunto padre.","Aventura
Comedia
Drama",1h 57min,El país de los sueños
160,"5,6",67%,Advait Chandan,Atul Kulkarni,"Laal Singh Chaddha, un hombre sencillo cuyo extraordinario viaje te llenará de amor, calor, felicidad y también te hará reír.","Comedia
Drama
Romance",2h 39min,Laal Singh Chaddha
161,"4,2",40%,Phil Donlon,Dave Rosenberg,Ricky Reilly is on a spiritual journey when he runs into his childhood nemesis and is then challenged by his best friend to confront the nemesis at their high school reunion.,Drama,1h 25min,The Reunion
162,"7,8",91%,Sanjay Leela Bhansali,Sanjay Leela Bhansali,"La joven Ganga es engañada por su novio con la promesa de una carrera cinematográfica y la convence de que se vaya del campo a Mumbai. En Mumbai, sus sueños de una carrera cinematográfica se derrumban y ella es atraída al inframundo.","Biografía
Crimen
Drama",2h 32min,Gangubai Kathiawadi
163,"7,3",77%,Baz Luhrmann,Baz Luhrmann,"Un vistazo a la vida de la legendaria estrella del rock and roll, Elvis Presley.","Biografía
Drama
Música",2h 39min,Elvis
164,"7,8",90%,Edward Berger,Edward Berger,Las aterradoras experiencias y la angustia de un joven soldado alemán en el frente occidental durante la Primera Guerra Mundial.,"Acción
Drama
Bélico",2h 28min,Sin novedad en el frente
165,"6,6",85%,Lila Neugebauer,Ottessa Moshfegh,Una soldado estadounidense sufre una lesión cerebral traumática en Afganistán. Tendrá que luchar por adaptarse a la vida en su hogar.,Drama,1h 34min,Causeway
166,"6,1",74%,Angus MacLane,Angus MacLane,La historia de Buzz Lightyear y sus aventuras hasta el infinito y más allá.,"Animación
Acción
Aventura",1h 45min,Lightyear
